20:28:18 kwargs,  {'blog_id': 1} <class 'dict'>
20:41:55 kwargs,  {'blog_id': 1} <class 'dict'>
20:54:40 kwargs,  {'blog_id': 1} <class 'dict'>
21:17:05 kwargs,  {'tid': '1'} <class 'dict'>
21:17:12 kwargs,  {'tid': '1'} <class 'dict'>
21:17:14 kwargs,  {'tid': '2'} <class 'dict'>
21:17:19 kwargs,  {'tid': '1'} <class 'dict'>
21:17:46 kwargs,  {'id': '1'} <class 'dict'>
21:17:48 kwargs,  {'id': '2'} <class 'dict'>
21:17:49 kwargs,  {'id': '1'} <class 'dict'>
21:23:05 kwargs,  {'tids': '1'} <class 'dict'>
21:23:07 kwargs,  {'tids': '1'} <class 'dict'>
21:23:08 kwargs,  {'tids': '2'} <class 'dict'>
21:23:11 kwargs,  {'tids': '1'} <class 'dict'>
21:25:25 kwargs,  {'tids': '1'} <class 'dict'>
21:25:27 kwargs,  {'tids': '2'} <class 'dict'>
21:25:28 kwargs,  {'tids': '1'} <class 'dict'>
21:25:32 kwargs,  {'tids': '1'} <class 'dict'>
21:25:33 kwargs,  {'tids': '2'} <class 'dict'>
21:31:58 kwargs,  {'tids': '1'} <class 'dict'>
21:32:01 kwargs,  {'tids': '2'} <class 'dict'>
21:45:03 kwargs,  {'tids': '2'} <class 'dict'>
21:45:08 kwargs,  {'tids': '2'} <class 'dict'>
21:47:22 kwargs,  {'tids': '2'} <class 'dict'>
21:47:22 kwargs,  {'id': 1} <class 'dict'>
21:47:22 kwargs,  {'id': 2} <class 'dict'>
21:47:33 kwargs,  {'id': 1} <class 'dict'>
21:47:33 kwargs,  {'id': 2} <class 'dict'>
21:47:33 kwargs,  {'id': 1} <class 'dict'>
21:47:35 kwargs,  {'tids': '1'} <class 'dict'>
21:47:35 kwargs,  {'id': 1} <class 'dict'>
21:47:35 kwargs,  {'id': 2} <class 'dict'>
21:47:35 kwargs,  {'id': 1} <class 'dict'>
21:47:36 kwargs,  {'tids': '2'} <class 'dict'>
21:47:36 kwargs,  {'id': 1} <class 'dict'>
21:47:36 kwargs,  {'id': 2} <class 'dict'>
21:47:38 kwargs,  {'tids': '1'} <class 'dict'>
21:47:38 kwargs,  {'id': 1} <class 'dict'>
21:47:38 kwargs,  {'id': 2} <class 'dict'>
21:47:38 kwargs,  {'id': 1} <class 'dict'>
21:47:39 kwargs,  {'id': 1} <class 'dict'>
21:47:39 kwargs,  {'id': 2} <class 'dict'>
21:47:39 kwargs,  {'id': 1} <class 'dict'>
21:48:06 kwargs,  {'blog_id': 1} <class 'dict'>
21:49:18 kwargs,  {'id': 1} <class 'dict'>
21:49:18 kwargs,  {'id': 2} <class 'dict'>
21:49:18 kwargs,  {'id': 1} <class 'dict'>
21:50:15 kwargs,  {'id': 1} <class 'dict'>
21:50:15 kwargs,  {'id': 2} <class 'dict'>
21:50:15 kwargs,  {'id': 1} <class 'dict'>
21:58:53 kwargs,  {'id': 1} <class 'dict'>
21:58:53 kwargs,  {'id': 2} <class 'dict'>
21:58:53 kwargs,  {'id': 1} <class 'dict'>
21:58:58 kwargs,  {'id': 1} <class 'dict'>
21:58:58 kwargs,  {'id': 2} <class 'dict'>
21:58:58 kwargs,  {'id': 1} <class 'dict'>
21:58:59 kwargs,  {'tids': '1'} <class 'dict'>
21:58:59 kwargs,  {'id': 1} <class 'dict'>
21:58:59 kwargs,  {'id': 2} <class 'dict'>
21:58:59 kwargs,  {'id': 1} <class 'dict'>
21:59:00 kwargs,  {'id': 1} <class 'dict'>
21:59:00 kwargs,  {'id': 2} <class 'dict'>
21:59:00 kwargs,  {'id': 1} <class 'dict'>
21:59:01 kwargs,  {'id': 1} <class 'dict'>
21:59:01 kwargs,  {'id': 2} <class 'dict'>
21:59:01 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 2} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 2} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 2} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 2} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 2} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:23:04 kwargs,  {'id': 2} <class 'dict'>
22:23:04 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 2} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 2} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 2} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 2} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 2} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 1} <class 'dict'>
22:24:26 kwargs,  {'id': 2} <class 'dict'>
22:24:32 kwargs,  {'tids': '1'} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 2} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 2} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 2} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 2} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 2} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 1} <class 'dict'>
22:24:32 kwargs,  {'id': 2} <class 'dict'>
22:24:37 kwargs,  {'tids': '2'} <class 'dict'>
22:24:37 kwargs,  {'id': 1} <class 'dict'>
22:24:37 kwargs,  {'id': 2} <class 'dict'>
22:24:37 kwargs,  {'id': 1} <class 'dict'>
22:24:37 kwargs,  {'id': 2} <class 'dict'>
22:24:37 kwargs,  {'id': 1} <class 'dict'>
22:24:37 kwargs,  {'id': 2} <class 'dict'>
22:24:37 kwargs,  {'id': 1} <class 'dict'>
22:24:37 kwargs,  {'id': 2} <class 'dict'>
22:24:37 kwargs,  {'id': 1} <class 'dict'>
22:24:37 kwargs,  {'id': 2} <class 'dict'>
22:24:37 kwargs,  {'id': 1} <class 'dict'>
22:24:37 kwargs,  {'id': 2} <class 'dict'>
22:24:41 kwargs,  {'id': 1} <class 'dict'>
22:24:41 kwargs,  {'id': 2} <class 'dict'>
22:24:41 kwargs,  {'id': 1} <class 'dict'>
22:24:41 kwargs,  {'id': 1} <class 'dict'>
22:24:41 kwargs,  {'id': 2} <class 'dict'>
22:24:41 kwargs,  {'id': 1} <class 'dict'>
22:24:41 kwargs,  {'id': 1} <class 'dict'>
22:24:41 kwargs,  {'id': 2} <class 'dict'>
